CustomerID,Lookalikes
C0001,"[('C0011', 0.9999999728046249), ('C0191', 0.9999999637267202), ('C0137', 0.9999999616799686)]"
C0002,"[('C0142', 0.9999997619076089), ('C0034', 0.9999997516122912), ('C0134', 0.9999997255592499)]"
C0003,"[('C0136', 0.9999998686902084), ('C0190', 0.9999998576234649), ('C0075', 0.9999998518710483)]"
C0004,"[('C0195', 0.999999994611172), ('C0039', 0.999999991370829), ('C0169', 0.9999999635801116)]"
C0005,"[('C0178', 0.9999999854678082), ('C0177', 0.9999999710137174), ('C0193', 0.9999999431821177)]"
C0006,"[('C0171', 0.9999999955108064), ('C0082', 0.9999999743375565), ('C0188', 0.999999972128724)]"
C0007,"[('C0022', 0.9999999618255423), ('C0092', 0.9999999478886424), ('C0200', 0.9999999375259557)]"
C0008,"[('C0047', 0.9999999722091635), ('C0098', 0.999999928676035), ('C0088', 0.9999998629488078)]"
C0009,"[('C0172', 0.9999986808260499), ('C0198', 0.9999985510437447), ('C0147', 0.9999982513751426)]"
C0010,"[('C0111', 0.9999993248796013), ('C0091', 0.9999992350219938), ('C0134', 0.9999990317727598)]"
C0011,"[('C0153', 0.9999999878247118), ('C0107', 0.9999999833052328), ('C0001', 0.9999999728046249)]"
C0012,"[('C0153', 0.9999999889809744), ('C0102', 0.999999977488576), ('C0011', 0.9999999675419412)]"
C0013,"[('C0099', 0.9999999911347478), ('C0188', 0.9999999811064576), ('C0104', 0.9999999789798334)]"
C0014,"[('C0010', 0.9999958267077936), ('C0019', 0.9999954792513709), ('C0119', 0.9999954685290374)]"
C0015,"[('C0131', 0.9999998943073799), ('C0194', 0.9999997968732297), ('C0035', 0.999999769306373)]"
C0016,"[('C0042', 0.9999999822528483), ('C0023', 0.9999999228418949), ('C0051', 0.9999999218300085)]"
C0017,"[('C0124', 0.9999999972756423), ('C0166', 0.9999999664024114), ('C0175', 0.9999999329356809)]"
C0018,"[('C0041', 0.9999999560387407), ('C0045', 0.9999999491737059), ('C0026', 0.9999999173682975)]"
C0019,"[('C0172', 0.9999998793192595), ('C0147', 0.9999997029179521), ('C0157', 0.9999997025956749)]"
C0020,"[('C0026', 0.999999667977291), ('C0125', 0.9999996462214739), ('C0117', 0.9999996049857407)]"
